semana;data;pais;estado;cidade;novosObitos;Obitos;novosCasos;Casos;obitosMS;casosMS;obitos_por_100k;casos_por_100k;obitos_por_casos;recuperados;suspeitos;testes;testes_por_100k;mes;dia_da_semana;mediaObitos_7;mediaObitos_14;mediaCasos_7;mediaCasos_14;aceleracaoNovosCasos;aceleracaoObitos
9;2020-02-25;Brazil;SP;TOTAL;0;0;1;1;0;0;0.0;0.00218;0.0;0.0;0.0;0.0;0.0;2;Tuesday;;;;;;
9;2020-02-26;Brazil;SP;TOTAL;0;0;0;1;0;1;0.0;0.00218;0.0;0.0;0.0;0.0;0.0;2;Wednesday;;;;;-1.0;0.0
9;2020-02-27;Brazil;SP;TOTAL;0;0;0;1;0;1;0.0;0.00218;0.0;0.0;0.0;0.0;0.0;2;Thursday;;;;;0.0;0.0
9;2020-02-28;Brazil;SP;TOTAL;0;0;1;2;0;1;0.0;0.00436;0.0;0.0;0.0;0.0;0.0;2;Friday;;;;;1.0;0.0
9;2020-02-29;Brazil;SP;TOTAL;0;0;0;2;0;2;0.0;0.00436;0.0;0.0;0.0;0.0;0.0;2;Saturday;;;;;-1.0;0.0
10;2020-03-01;Brazil;SP;TOTAL;0;0;0;2;0;2;0.0;0.00436;0.0;0.0;0.0;0.0;0.0;3;Sunday;;;;;0.0;0.0
10;2020-03-02;Brazil;SP;TOTAL;0;0;0;2;0;2;0.0;0.00436;0.0;0.0;0.0;0.0;0.0;3;Monday;0.0;;0.2857142857142857;;0.0;0.0
10;2020-03-03;Brazil;SP;TOTAL;0;0;0;2;0;2;0.0;0.00436;0.0;0.0;0.0;0.0;0.0;3;Tuesday;0.0;;0.14285714285714285;;0.0;0.0
10;2020-03-04;Brazil;SP;TOTAL;0;0;1;3;0;3;0.0;0.00653;0.0;0.0;0.0;0.0;0.0;3;Wednesday;0.0;;0.2857142857142857;;1.0;0.0
10;2020-03-05;Brazil;SP;TOTAL;0;0;3;6;0;6;0.0;0.01307;0.0;0.0;0.0;0.0;0.0;3;Thursday;0.0;;0.7142857142857143;;2.0;0.0
10;2020-03-06;Brazil;SP;TOTAL;0;0;4;10;0;10;0.0;0.02178;0.0;0.0;0.0;0.0;0.0;3;Friday;0.0;;1.1428571428571428;;1.0;0.0
